date_time,day,year,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
3/1/20,1,2020,48,0,1025,16,10,246,8,atlanta
3/2/20,2,2020,71,2.3,1019,14,8,187,13,atlanta
3/3/20,3,2020,84,5.4,1012,19,10,235,13,atlanta
3/4/20,4,2020,63,3.9,1017,15,9,204,9,atlanta
3/5/20,5,2020,85,15.1,1018,10,8,74,14,atlanta
3/6/20,6,2020,53,0,1022,12,10,317,21,atlanta
3/7/20,7,2020,42,0,1030,18,10,227,12,atlanta
3/8/20,8,2020,44,0,1034,15,10,139,7,atlanta
3/9/20,9,2020,60,0,1032,17,10,158,9,atlanta
3/10/20,10,2020,78,2,1027,17,10,202,13,atlanta
3/11/20,11,2020,84,2.1,1020,21,9,228,12,atlanta
3/12/20,12,2020,83,7.7,1015,20,9,217,9,atlanta
3/13/20,13,2020,74,0.1,1019,21,10,272,13,atlanta
3/14/20,14,2020,58,0,1026,19,10,132,11,atlanta
3/15/20,15,2020,72,2.4,1025,19,9,122,6,atlanta
3/16/20,16,2020,86,5.6,1026,13,8,94,13,atlanta
3/17/20,17,2020,77,6.7,1023,23,9,137,6,atlanta
3/18/20,18,2020,78,4.1,1024,24,9,120,10,atlanta
3/19/20,19,2020,72,0.5,1023,26,9,187,11,atlanta
3/20/20,20,2020,75,0.4,1023,22,10,236,15,atlanta
3/21/20,21,2020,65,1.5,1024,22,9,314,10,atlanta
3/22/20,22,2020,73,4.6,1025,15,9,142,15,atlanta
3/23/20,23,2020,90,6.7,1022,16,5,145,8,atlanta
3/24/20,24,2020,84,1.5,1016,24,7,193,10,atlanta
3/25/20,25,2020,68,5.2,1010,23,10,278,16,atlanta
3/26/20,26,2020,77,0,1016,21,10,144,9,atlanta
3/27/20,27,2020,59,0,1014,28,10,224,10,atlanta
3/28/20,28,2020,71,0,1015,27,10,225,13,atlanta
3/29/20,29,2020,68,0.2,1017,22,10,251,15,atlanta
3/30/20,30,2020,33,0,1020,24,10,324,12,atlanta
3/31/20,31,2020,60,3.4,1010,15,9,241,11,atlanta
3/1/19,1,2019,67,2.2,1020,13,6,232,8,atlanta
3/2/19,2,2019,62,0.3,1020,11,10,293,11,atlanta
3/3/19,3,2019,61,24.1,1022,11,9,273,9,atlanta
3/4/19,4,2019,55,0.1,1018,8,10,319,18,atlanta
3/5/19,5,2019,31,0,1022,7,10,312,19,atlanta
3/6/19,6,2019,27,0,1029,8,10,314,16,atlanta
3/7/19,7,2019,24,0,1028,15,10,272,7,atlanta
3/8/19,8,2019,47,0,1022,16,10,172,6,atlanta
3/9/19,9,2019,82,2.2,1018,18,7,130,9,atlanta
3/10/19,10,2019,81,2.7,1019,16,9,240,8,atlanta
3/11/19,11,2019,57,0.8,1023,19,10,218,8,atlanta
3/12/19,12,2019,53,0,1025,20,10,212,9,atlanta
3/13/19,13,2019,50,0,1023,20,10,125,14,atlanta
3/14/19,14,2019,78,1,1019,21,10,161,17,atlanta
3/15/19,15,2019,71,5.8,1019,19,9,261,17,atlanta
3/16/19,16,2019,36,0,1024,15,10,335,16,atlanta
3/17/19,17,2019,31,0,1024,19,20,177,10,atlanta
3/18/19,18,2019,33,0,1025,15,20,323,15,atlanta
3/19/19,19,2019,32,0,1028,15,11,65,13,atlanta
3/20/19,20,2019,33,0,1024,20,10,96,7,atlanta
3/21/19,21,2019,42,0,1015,14,10,263,14,atlanta
3/22/19,22,2019,46,0,1018,17,10,313,19,atlanta
3/23/19,23,2019,35,0,1023,23,10,232,7,atlanta
3/24/19,24,2019,37,0,1024,22,10,173,8,atlanta
3/25/19,25,2019,62,6,1017,18,10,239,12,atlanta
3/26/19,26,2019,68,3.4,1019,16,10,187,12,atlanta
3/27/19,27,2019,50,7.1,1027,17,10,84,13,atlanta
3/28/19,28,2019,34,0,1028,21,20,117,8,atlanta
3/29/19,29,2019,37,0,1024,22,20,184,7,atlanta
3/30/19,30,2019,46,0,1019,24,20,210,11,atlanta
3/31/19,31,2019,49,1.9,1017,13,10,304,20,atlanta