date_time,day,year,humidity,precipMM,pressure,tempC,visibility,windspeedKmph,location
3/1/19,1,2019,66,0,1017,19,10,2,los+angeles
3/2/19,2,2019,76,25.3,1017,16,8,6,los+angeles
3/3/19,3,2019,78,4.1,1019,16,10,5,los+angeles
3/4/19,4,2019,70,0.1,1018,18,10,7,los+angeles
3/5/19,5,2019,50,0.1,1016,20,10,7,los+angeles
3/6/19,6,2019,73,40.8,1014,15,8,14,los+angeles
3/7/19,7,2019,64,4.9,1017,17,10,8,los+angeles
3/8/19,8,2019,50,0.1,1016,15,10,13,los+angeles
3/9/19,9,2019,54,0,1017,16,10,10,los+angeles
3/10/19,10,2019,55,0.3,1014,14,9,6,los+angeles
3/11/19,11,2019,43,0,1013,19,10,6,los+angeles
3/12/19,12,2019,43,0.2,1009,22,10,10,los+angeles
3/13/19,13,2019,35,0,1015,22,10,9,los+angeles
3/14/19,14,2019,19,0,1022,24,10,7,los+angeles
3/15/19,15,2019,15,0,1021,24,10,7,los+angeles
3/16/19,16,2019,17,0,1019,29,12,7,los+angeles
3/17/19,17,2019,21,0,1017,30,20,9,los+angeles
3/18/19,18,2019,30,0,1017,27,20,5,los+angeles
3/19/19,19,2019,49,0.1,1015,21,11,8,los+angeles
3/20/19,20,2019,56,1.2,1017,19,9,11,los+angeles
3/21/19,21,2019,58,0.2,1019,17,10,8,los+angeles
3/22/19,22,2019,62,0,1021,19,10,8,los+angeles
3/23/19,23,2019,64,0,1021,20,10,8,los+angeles
3/24/19,24,2019,62,0,1021,22,10,7,los+angeles
3/25/19,25,2019,46,0,1020,25,10,6,los+angeles
3/26/19,26,2019,41,0,1017,24,10,5,los+angeles
3/27/19,27,2019,57,0,1018,21,12,8,los+angeles
3/28/19,28,2019,56,0.1,1022,21,19,10,los+angeles
3/29/19,29,2019,35,0,1022,24,20,8,los+angeles
3/30/19,30,2019,22,0,1019,29,20,8,los+angeles
3/31/19,31,2019,23,0,1018,30,11,9,los+angeles
3/1/20,1,2020,55,0.5,1014,17,10,17,los+angeles
3/2/20,2,2020,39,0.2,1013,20,10,8,los+angeles
3/3/20,3,2020,21,0,1015,23,10,12,los+angeles
3/4/20,4,2020,47,0,1019,22,10,7,los+angeles
3/5/20,5,2020,51,0,1019,23,10,7,los+angeles
3/6/20,6,2020,53,0,1016,21,10,8,los+angeles
3/7/20,7,2020,66,0.2,1016,16,10,11,los+angeles
3/8/20,8,2020,60,0.6,1016,17,10,9,los+angeles
3/9/20,9,2020,53,0.2,1017,20,10,10,los+angeles
3/10/20,10,2020,61,19,1016,18,9,9,los+angeles
3/11/20,11,2020,58,3,1018,20,10,7,los+angeles
3/12/20,12,2020,48,1.1,1012,22,10,6,los+angeles
3/13/20,13,2020,79,43.6,1012,17,8,10,los+angeles
3/14/20,14,2020,68,2.9,1018,17,10,10,los+angeles
3/15/20,15,2020,60,0.8,1020,16,10,10,los+angeles
3/16/20,16,2020,59,4.2,1017,15,10,14,los+angeles
3/17/20,17,2020,53,5.1,1015,15,10,10,los+angeles
3/18/20,18,2020,49,0,1012,16,10,14,los+angeles
3/19/20,19,2020,57,1.3,1017,14,10,10,los+angeles
3/20/20,20,2020,54,0,1022,17,10,10,los+angeles
3/21/20,21,2020,55,0,1022,18,10,9,los+angeles
3/22/20,22,2020,60,7.3,1019,17,9,5,los+angeles
3/23/20,23,2020,65,15.4,1019,18,9,11,los+angeles
3/24/20,24,2020,67,1.3,1020,16,10,10,los+angeles
3/25/20,25,2020,53,0.1,1018,17,10,14,los+angeles
3/26/20,26,2020,45,0.4,1016,15,10,15,los+angeles
3/27/20,27,2020,39,0.3,1018,18,10,15,los+angeles
3/28/20,28,2020,59,0,1020,17,10,11,los+angeles
3/29/20,29,2020,60,0.2,1018,18,10,12,los+angeles
3/30/20,30,2020,56,0,1021,21,10,9,los+angeles
3/31/20,31,2020,45,0,1016,23,10,7,los+angeles